[21:04:42 | Log]	192.168.1.11
[21:04:43 | Log]	Client Message Connect -> hostId: 0 connectionId: 1 isReady: False channel count: 2
[21:04:52 | Log]	ReceiveData -> {"PageType":"","Function":"闲置","Data":[]}
[21:04:52 | Error]	闲置
[21:04:54 | Log]	ReceiveData -> {"PageType":"","Function":"流程开始","Data":[{"key":"msg","value":"1"}]}
[21:04:54 | Error]	流程开始:地上到地上
[21:04:54 | Log]	预加载 -> D:/Unity/DongFeng/Video/环幕/2U.mp4
[21:04:54 | Log]	预加载 -> D:/Unity/DongFeng/Video/环幕/2G.mp4
[21:04:54 | Log]	ReceiveData -> {"PageType":"","Function":"CarDrive","Data":[]}
[21:04:54 | Log]	ReceiveData -> {"PageType":"","Function":"VideoLoad","Data":[{"key":"type","value":"车辆出库"},{"key":"autoPlay","value":"False"},{"key":"top","value":"False"},{"key":"loop","value":"False"}]}
[21:04:54 | Log]	ReceiveData -> {"PageType":"","Function":"CarDrive","Data":[]}
[21:04:54 | Log]	ReceiveData -> {"PageType":"","Function":"VideoLoad","Data":[{"key":"type","value":"车辆出库"},{"key":"autoPlay","value":"False"},{"key":"top","value":"False"},{"key":"loop","value":"False"}]}
[21:04:57 | Log]	ReceiveData -> {"PageType":"","Function":"VideoPlay","Data":[{"key":"type","value":"车辆出库"},{"key":"select","value":"MP1"}]}
[21:04:57 | Log]	ReceiveData -> {"PageType":"","Function":"PlayVideoNotify","Data":[{"key":"vName","value":"2U"}]}
[21:04:57 | Log]	播放完成 -> D:/Unity/DongFeng/Video/环幕/1G.mp4
[21:04:57 | Log]	正在播放 -> D:/Unity/DongFeng/Video/环幕/2U.mp4
[21:04:57 | Warning]	通知播放视频名称 -> 2U
[21:04:57 | Log]	ReceiveData -> {"PageType":"","Function":"VideoPlay","Data":[{"key":"type","value":"车辆出库"},{"key":"select","value":"MP1"}]}
[21:04:57 | Log]	ReceiveData -> {"PageType":"","Function":"PlayVideoNotify","Data":[{"key":"vName","value":"2U"}]}
[21:05:08 | Log]	ReceiveData -> {"PageType":"","Function":"VideoLoad","Data":[{"key":"type","value":"用户上车"},{"key":"autoPlay","value":"False"},{"key":"top","value":"False"},{"key":"loop","value":"True"}]}
[21:05:08 | Log]	预加载 -> D:/Unity/DongFeng/Video/环幕/3.mp4
